312 -589 287.04 -541.88
299 -425 275.08 -391.0
251 -257 230.92 -236.44
218 -171 200.56 -157.32
123 -38 113.16 -34.96
-5 17 -4.6 15.64
-46 37 -42.32 34.04
-130 39 -119.6 35.88
-169 39 -155.48 35.88
-240 20 -220.8 18.4
-290 -17 -266.8 -15.64
-347 -84 -319.24 -77.28
-437 -212 -402.04 -195.04
-484 -296 -445.28 -272.32
-499 -350 -459.08 -322.0
-503 -383 -462.76 -352.36
-463 -558 -425.96 -513.36
-355 -742 -326.6 -682.64
-278 -816 -255.76 -750.72
-208 -863 -191.36 -793.96
-260 -831 -239.2 -764.52
-364 -741 -334.88 -681.72
-449 -591 -413.08 -543.72
-475 -450 -437.0 -414.0
-438 -250 -402.96 -230.0
-389 -156 -357.88 -143.52
-299 -41 -275.08 -37.72
-174 46 -160.08 42.32
-94 59 -86.48 54.28
22 53 20.24 48.76
218 -28 200.56 -25.76
292 -80 268.64 -73.6
404 -240 371.68 -220.8
429 -339 394.68 -311.88
429 -463 394.68 -425.96
380 -601 349.6 -552.92
363 -647 333.96 -595.24
273 -758 251.16 -697.36
238 -787 218.96 -724.04
165 -815 151.8 -749.8
45 -844 41.4 -776.48
2 -850 1.84 -782.0
-112 -843 -103.04 -775.56
-173 -826 -159.16 -759.92
-297 -754 -273.24 -693.68
-377 -662 -346.84 -609.04
-407 -608 -374.44 -559.36
-420 -589 -386.4 -541.88
-395 -644 -363.4 -592.48
-217 -813 -199.64 -747.96
16 -857 14.72 -788.44
48 -854 44.16 -785.68
131 -838 120.52 -770.96
157 -834 144.44 -767.28
210 -802 193.2 -737.84
349 -598 321.08 -550.16
349 -475 321.08 -437.0
269 -265 247.48 -243.8
226 -204 207.92 -187.68
90 -68 82.8 -62.56
-19 -37 -17.48 -34.04
-74 -25 -68.08 -23.0
-120 -12 -110.4 -11.04
-183 -18 -168.36 -16.56
-256 -55 -235.52 -50.6
-416 -200 -382.72 -184.0
-460 -283 -423.2 -260.36
-494 -365 -454.48 -335.8
-474 -562 -436.08 -517.04
-441 -634 -405.72 -583.28
-381 -719 -350.52 -661.48
-351 -754 -322.92 -693.68
-334 -771 -307.28 -709.32
-321 -776 -295.32 -713.92
-347 -742 -319.24 -682.64
-460 -442 -423.2 -406.64
-433 -225 -398.36 -207.0
-361 -73 -332.12 -67.16
-153 9 -140.76 8.28
-139 10 -127.88 9.2
-49 1 -45.08 0.92
77 -16 70.84 -14.72
344 -139 316.48 -127.88
428 -280 393.76 -257.6
456 -370 419.52 -340.4
451 -520 414.92 -478.4
374 -693 344.08 -637.56
147 -857 135.24 -788.44
34 -878 31.28 -807.76
12 -876 11.04 -805.92
-50 -861 -46.0 -792.12
-87 -845 -80.04 -777.4
-261 -760 -240.12 -699.2
-376 -651 -345.92 -598.92
-395 -607 -363.4 -558.44
-417 -569 -383.64 -523.48
-405 -617 -372.6 -567.64
-316 -734 -290.72 -675.28
-142 -831 -130.64 -764.52
-80 -841 -73.6 -773.72
83 -839 76.36 -771.88
168 -830 154.56 -763.6
181 -829 166.52 -762.68
317 -688 291.64 -632.96
354 -558 325.68 -513.36
362 -342 333.04 -314.64
293 -158 269.56 -145.36
201 -71 184.92 -65.32
-22 56 -20.24 51.52
-162 37 -149.04 34.04
-249 17 -229.08 15.64
-357 -109 -328.44 -100.28
-398 -196 -366.16 -180.32
-450 -421 -414.0 -387.32
-427 -590 -392.84 -542.8
-325 -766 -299.0 -704.72
-302 -787 -277.84 -724.04
-314 -780 -288.88 -717.6
-331 -779 -304.52 -716.68
-350 -766 -322.0 -704.72
-460 -602 -423.2 -553.84
-481 -342 -442.52 -314.64
-352 -90 -323.84 -82.8
-132 5 -121.44 4.6
-113 20 -103.96 18.4
-88 44 -80.96 40.48
3 17 2.76 15.64
95 -1 87.4 -0.92
281 -117 258.52 -107.64
327 -176 300.84 -161.92
401 -329 368.92 -302.68
407 -544 374.44 -500.48
357 -659 328.44 -606.28
160 -834 147.2 -767.28
74 -869 68.08 -799.48
17 -875 15.64 -805.0
-174 -824 -160.08 -758.08
-247 -783 -227.24 -720.36
-363 -679 -333.96 -624.68
-421 -616 -387.32 -566.72
-442 -580 -406.64 -533.6
-446 -531 -410.32 -488.52
-438 -522 -402.96 -480.24
-405 -623 -372.6 -573.16
-291 -767 -267.72 -705.64
-218 -820 -200.56 -754.4
-18 -868 -16.56 -798.56
42 -863 38.64 -793.96
163 -825 149.96 -759.0
192 -809 176.64 -744.28
261 -744 240.12 -684.48
325 -611 299.0 -562.12
333 -560 306.36 -515.2
339 -389 311.88 -357.88
301 -239 276.92 -219.88
294 -183 270.48 -168.36
191 -16 175.72 -14.72
162 2 149.04 1.84
79 33 72.68 30.36
-139 26 -127.88 23.92
-194 9 -178.48 8.28
-279 -44 -256.68 -40.48
-317 -76 -291.64 -69.92
-427 -228 -392.84 -209.76
-483 -451 -444.36 -414.92
-477 -519 -438.84 -477.48
-437 -639 -402.04 -587.88
-347 -750 -319.24 -690.0
-343 -750 -315.56 -690.0
-329 -762 -302.68 -701.04
-332 -762 -305.44 -701.04
-381 -699 -350.52 -643.08
-455 -543 -418.6 -499.56
-469 -427 -431.48 -392.84
-413 -207 -379.96 -190.44
-337 -99 -310.04 -91.08
-170 35 -156.4 32.2
-79 29 -72.68 26.68
-62 21 -57.04 19.32
156 -27 143.52 -24.84
256 -87 235.52 -80.04
332 -164 305.44 -150.88
391 -264 359.72 -242.88
410 -333 377.2 -306.36
423 -471 389.16 -433.32
346 -678 318.32 -623.76
304 -755 279.68 -694.6
182 -847 167.44 -779.24
